    Gen1_interval, Fraction_of_volume,     Gen2_interval, Fraction_of_volume,     Gen3_interval, Fraction_of_volume,     ISS1_interval, Fraction_of_volume,       DO_interval, Fraction_of_volume, 
   20.0000,  0.1000E+01,   20.0000,  0.9206E+00,   20.0000,  0.2840E-02,   20.0000,  0.2953E-03,   20.0000,  0.0000E+00,
   19.0000,  0.0000E+00,   19.0000,  0.4041E-02,   19.0000,  0.8895E-04,   19.0000,  0.5348E-04,   19.0000,  0.0000E+00,
   18.0000,  0.0000E+00,   18.0000,  0.3967E-02,   18.0000,  0.7113E-04,   18.0000,  0.4640E-04,   18.0000,  0.0000E+00,
   17.0000,  0.0000E+00,   17.0000,  0.3939E-02,   17.0000,  0.1048E-03,   17.0000,  0.5147E-04,   17.0000,  0.0000E+00,
   16.0000,  0.0000E+00,   16.0000,  0.3957E-02,   16.0000,  0.1177E-03,   16.0000,  0.7176E-04,   16.0000,  0.0000E+00,
   15.0000,  0.0000E+00,   15.0000,  0.4008E-02,   15.0000,  0.1091E-03,   15.0000,  0.7957E-04,   15.0000,  0.0000E+00,
   14.0000,  0.0000E+00,   14.0000,  0.3960E-02,   14.0000,  0.1118E-03,   14.0000,  0.8291E-04,   14.0000,  0.0000E+00,
   13.0000,  0.0000E+00,   13.0000,  0.4038E-02,   13.0000,  0.1272E-03,   13.0000,  0.1300E-03,   13.0000,  0.0000E+00,
   12.0000,  0.0000E+00,   12.0000,  0.4011E-02,   12.0000,  0.1357E-03,   12.0000,  0.1703E-03,   12.0000,  0.1915E-06,
   11.0000,  0.0000E+00,   11.0000,  0.3928E-02,   11.0000,  0.1573E-03,   11.0000,  0.2301E-03,   11.0000,  0.6070E-02,
   10.0000,  0.0000E+00,   10.0000,  0.3957E-02,   10.0000,  0.1875E-03,   10.0000,  0.2668E-03,   10.0000,  0.7608E-01,
    9.0000,  0.0000E+00,    9.0000,  0.3916E-02,    9.0000,  0.3348E-03,    9.0000,  0.3329E-03,    9.0000,  0.1002E+00,
    8.0000,  0.0000E+00,    8.0000,  0.3890E-02,    8.0000,  0.8209E-03,    8.0000,  0.4103E-03,    8.0000,  0.1489E+00,
    7.0000,  0.0000E+00,    7.0000,  0.3857E-02,    7.0000,  0.7080E-03,    7.0000,  0.4976E-03,    7.0000,  0.1892E+00,
    6.0000,  0.0000E+00,    6.0000,  0.3819E-02,    6.0000,  0.9295E-03,    6.0000,  0.6405E-03,    6.0000,  0.2141E+00,
    5.0000,  0.0000E+00,    5.0000,  0.3793E-02,    5.0000,  0.1159E-02,    5.0000,  0.1159E-02,    5.0000,  0.6005E-01,
    4.0000,  0.0000E+00,    4.0000,  0.3813E-02,    4.0000,  0.1589E-02,    4.0000,  0.1609E-02,    4.0000,  0.4580E-01,
    3.0000,  0.0000E+00,    3.0000,  0.3763E-02,    3.0000,  0.1919E-02,    3.0000,  0.2331E-02,    3.0000,  0.3865E-01,
    2.0000,  0.0000E+00,    2.0000,  0.3881E-02,    2.0000,  0.2728E-02,    2.0000,  0.4907E-02,    2.0000,  0.3268E-01,
    1.0000,  0.0000E+00,    1.0000,  0.8861E-02,    1.0000,  0.9858E+00,    1.0000,  0.9866E+00,    1.0000,  0.8825E-01,

 0,   0.1000E+01, 0,   0.1000E+01, 0,   0.1000E+01, 0,   0.1000E+01, 0,   0.1000E+01,

 0,   0.1000E+03, 0,   0.1273E+03, 0,   0.3637E+00, 0,   0.2125E+00, 0,   0.6712E+01,
