"Bulkhead configuration and parameter file for Libby Dam, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet Wells,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW Names,Wet Well 1,Wet Well 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulkhead Slots,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulkhead Rows,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulkhead Width,27,feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulkhead Height,10.34,feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Elevation,2222,feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Head Loss Coef,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head Loss Increment,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of missing bulkheads or blocks in each row of each wet well (row 1 is lowest),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulkhead configuration,,Wet Well #1,,,,,,,,,,,,,,,,,,Wet Well #2,,,,,,,,,,,,,,,,,
Date,JDAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1/01/2020 00:00,1.000,2,2,2,2,2,2,2,2,2,2,4,4,4,6,6,7,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
4/14/2020 12:00,105.500,0,1,1,1,1,1,1,1,1,1,4,4,4,6,6,7,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
4/21/2020 12:00,112.500,0,0,0,0,0,0,0,0,0,0,4,4,4,6,6,7,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
5/19/2020 12:00,140.500,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
6/08/2020 12:00,160.500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
6/09/2020 12:00,161.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
6/29/2020 12:00,181.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
10/20/2020 12:00,294.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
10/22/2020 12:00,296.500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
10/26/2020 12:00,300.500,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
10/27/2020 12:00,301.500,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
10/28/2020 12:00,302.500,0,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
10/29/2020 12:00,303.500,0,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
11/02/2020 12:00,307.500,0,1,1,1,1,1,1,1,1,1,5,5,5,6,6,7,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
11/03/2020 12:00,308.500,0,1,2,2,2,2,2,2,2,2,5,5,5,6,6,7,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
11/04/2020 12:00,309.500,1,2,2,3,3,3,3,3,3,3,5,5,5,6,6,7,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
11/09/2020 12:00,314.500,2,3,3,3,3,4,4,4,4,4,5,5,5,6,6,7,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
11/10/2020 12:00,315.500,2,3,4,4,4,4,4,4,4,4,5,5,5,6,6,7,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
11/16/2020 12:00,321.500,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,7,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
1/01/2021 00:00,367.000,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,7,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7
